timestamp,label,method,suite,variant,repeat,test_id,status,duration_ms,run_wall_ms,run_ai_calls,run_prompt_tokens,run_completion_tokens,run_ai_ms,run_cost_usd
2026-07-08T14:30:41.576Z,gd4-main,locator,main,v0,4,B4,passed,656,2605,,,,,
2026-07-08T14:30:41.576Z,gd4-main,locator,main,v0,4,C1,passed,910,2605,,,,,
2026-07-08T14:30:41.576Z,gd4-main,locator,main,v0,4,C2,passed,595,2605,,,,,
2026-07-08T14:30:41.576Z,gd4-main,locator,main,v0,4,C3,passed,830,2605,,,,,
2026-07-08T14:30:41.576Z,gd4-main,locator,main,v0,4,C4,passed,485,2605,,,,,
2026-07-08T14:30:41.576Z,gd4-main,locator,main,v0,4,D1,passed,659,2605,,,,,
2026-07-08T14:30:41.576Z,gd4-main,locator,main,v0,4,D2,passed,483,2605,,,,,
2026-07-08T14:30:41.576Z,gd4-main,locator,main,v0,4,D3,passed,303,2605,,,,,
2026-07-08T14:30:41.576Z,gd4-main,locator,main,v0,4,D4,passed,259,2605,,,,,
2026-07-08T14:30:41.576Z,gd4-main,locator,main,v0,4,D5,passed,245,2605,,,,,
2026-07-08T14:30:44.241Z,gd4-main,locator,main,v0,5,A1,passed,498,2662,,,,,
2026-07-08T14:30:44.241Z,gd4-main,locator,main,v0,5,A2,passed,493,2662,,,,,
2026-07-08T14:30:44.241Z,gd4-main,locator,main,v0,5,A3,passed,948,2662,,,,,
2026-07-08T14:30:44.241Z,gd4-main,locator,main,v0,5,A4,passed,794,2662,,,,,
2026-07-08T14:30:44.241Z,gd4-main,locator,main,v0,5,A5,passed,728,2662,,,,,
2026-07-08T14:30:44.241Z,gd4-main,locator,main,v0,5,B1,passed,713,2662,,,,,
2026-07-08T14:30:44.241Z,gd4-main,locator,main,v0,5,B2,passed,910,2662,,,,,
2026-07-08T14:30:44.241Z,gd4-main,locator,main,v0,5,B3,passed,843,2662,,,,,
2026-07-08T14:30:44.241Z,gd4-main,locator,main,v0,5,B4,passed,773,2662,,,,,
2026-07-08T14:30:44.241Z,gd4-main,locator,main,v0,5,C1,passed,695,2662,,,,,
2026-07-08T14:30:44.241Z,gd4-main,locator,main,v0,5,C2,passed,707,2662,,,,,
2026-07-08T14:30:44.241Z,gd4-main,locator,main,v0,5,C3,passed,697,2662,,,,,
2026-07-08T14:30:44.241Z,gd4-main,locator,main,v0,5,C4,passed,425,2662,,,,,
2026-07-08T14:30:44.241Z,gd4-main,locator,main,v0,5,D1,passed,447,2662,,,,,
2026-07-08T14:30:44.241Z,gd4-main,locator,main,v0,5,D2,passed,473,2662,,,,,
2026-07-08T14:30:44.241Z,gd4-main,locator,main,v0,5,D3,passed,314,2662,,,,,
2026-07-08T14:30:44.241Z,gd4-main,locator,main,v0,5,D4,passed,334,2662,,,,,
2026-07-08T14:30:44.241Z,gd4-main,locator,main,v0,5,D5,passed,276,2662,,,,,
2026-07-08T14:30:47.076Z,gd4-main,locator,main,v1,1,A1,passed,1164,2834,,,,,
2026-07-08T14:30:47.076Z,gd4-main,locator,main,v1,1,A2,passed,467,2834,,,,,
2026-07-08T14:30:47.076Z,gd4-main,locator,main,v1,1,A3,passed,607,2834,,,,,
2026-07-08T14:30:47.076Z,gd4-main,locator,main,v1,1,A4,passed,1387,2834,,,,,
2026-07-08T14:30:47.076Z,gd4-main,locator,main,v1,1,A5,passed,1167,2834,,,,,
2026-07-08T14:30:47.076Z,gd4-main,locator,main,v1,1,B1,passed,1096,2834,,,,,
2026-07-08T14:30:47.076Z,gd4-main,locator,main,v1,1,B2,passed,1085,2834,,,,,
2026-07-08T14:30:47.076Z,gd4-main,locator,main,v1,1,B3,passed,465,2834,,,,,
2026-07-08T14:30:47.076Z,gd4-main,locator,main,v1,1,B4,passed,969,2834,,,,,
2026-07-08T14:30:47.076Z,gd4-main,locator,main,v1,1,C1,passed,627,2834,,,,,
2026-07-08T14:30:47.076Z,gd4-main,locator,main,v1,1,C2,passed,527,2834,,,,,
2026-07-08T14:30:47.076Z,gd4-main,locator,main,v1,1,C3,passed,1109,2834,,,,,
2026-07-08T14:30:47.076Z,gd4-main,locator,main,v1,1,C4,passed,298,2834,,,,,
2026-07-08T14:30:47.076Z,gd4-main,locator,main,v1,1,D1,passed,295,2834,,,,,
2026-07-08T14:30:47.076Z,gd4-main,locator,main,v1,1,D2,passed,459,2834,,,,,
2026-07-08T14:30:47.076Z,gd4-main,locator,main,v1,1,D3,passed,288,2834,,,,,
2026-07-08T14:30:47.076Z,gd4-main,locator,main,v1,1,D4,passed,266,2834,,,,,
2026-07-08T14:30:47.076Z,gd4-main,locator,main,v1,1,D5,passed,406,2834,,,,,
2026-07-08T14:30:49.691Z,gd4-main,locator,main,v1,2,A1,passed,1011,2614,,,,,
2026-07-08T14:30:49.691Z,gd4-main,locator,main,v1,2,A2,passed,470,2614,,,,,
2026-07-08T14:30:49.691Z,gd4-main,locator,main,v1,2,A3,passed,1062,2614,,,,,
2026-07-08T14:30:49.691Z,gd4-main,locator,main,v1,2,A4,passed,995,2614,,,,,
2026-07-08T14:30:49.691Z,gd4-main,locator,main,v1,2,A5,passed,1034,2614,,,,,
2026-07-08T14:30:49.691Z,gd4-main,locator,main,v1,2,B1,passed,639,2614,,,,,
2026-07-08T14:30:49.691Z,gd4-main,locator,main,v1,2,B2,passed,720,2614,,,,,
2026-07-08T14:30:49.691Z,gd4-main,locator,main,v1,2,B3,passed,1013,2614,,,,,
2026-07-08T14:30:49.691Z,gd4-main,locator,main,v1,2,B4,passed,626,2614,,,,,
2026-07-08T14:30:49.691Z,gd4-main,locator,main,v1,2,C1,passed,908,2614,,,,,
2026-07-08T14:30:49.691Z,gd4-main,locator,main,v1,2,C2,passed,530,2614,,,,,
2026-07-08T14:30:49.691Z,gd4-main,locator,main,v1,2,C3,passed,497,2614,,,,,
2026-07-08T14:30:49.691Z,gd4-main,locator,main,v1,2,C4,passed,328,2614,,,,,
2026-07-08T14:30:49.691Z,gd4-main,locator,main,v1,2,D1,passed,423,2614,,,,,
2026-07-08T14:30:49.691Z,gd4-main,locator,main,v1,2,D2,passed,530,2614,,,,,
2026-07-08T14:30:49.691Z,gd4-main,locator,main,v1,2,D3,passed,362,2614,,,,,
2026-07-08T14:30:49.691Z,gd4-main,locator,main,v1,2,D4,passed,357,2614,,,,,
2026-07-08T14:30:49.691Z,gd4-main,locator,main,v1,2,D5,passed,296,2614,,,,,
2026-07-08T14:30:52.392Z,gd4-main,locator,main,v1,3,A1,passed,699,2698,,,,,
2026-07-08T14:30:52.392Z,gd4-main,locator,main,v1,3,A2,passed,786,2698,,,,,
2026-07-08T14:30:52.392Z,gd4-main,locator,main,v1,3,A3,passed,775,2698,,,,,
2026-07-08T14:30:52.392Z,gd4-main,locator,main,v1,3,A4,passed,668,2698,,,,,
2026-07-08T14:30:52.392Z,gd4-main,locator,main,v1,3,A5,passed,695,2698,,,,,
2026-07-08T14:30:52.392Z,gd4-main,locator,main,v1,3,B1,passed,460,2698,,,,,
2026-07-08T14:30:52.392Z,gd4-main,locator,main,v1,3,B2,passed,696,2698,,,,,
2026-07-08T14:30:52.392Z,gd4-main,locator,main,v1,3,B3,passed,582,2698,,,,,
2026-07-08T14:30:52.392Z,gd4-main,locator,main,v1,3,B4,passed,571,2698,,,,,
2026-07-08T14:30:52.392Z,gd4-main,locator,main,v1,3,C1,passed,666,2698,,,,,
2026-07-08T14:30:52.392Z,gd4-main,locator,main,v1,3,C2,passed,825,2698,,,,,
2026-07-08T14:30:52.392Z,gd4-main,locator,main,v1,3,C3,passed,786,2698,,,,,
2026-07-08T14:30:52.392Z,gd4-main,locator,main,v1,3,C4,passed,713,2698,,,,,
2026-07-08T14:30:52.392Z,gd4-main,locator,main,v1,3,D1,passed,333,2698,,,,,
2026-07-08T14:30:52.392Z,gd4-main,locator,main,v1,3,D2,passed,393,2698,,,,,
2026-07-08T14:30:52.392Z,gd4-main,locator,main,v1,3,D3,passed,300,2698,,,,,
2026-07-08T14:30:52.392Z,gd4-main,locator,main,v1,3,D4,passed,266,2698,,,,,
2026-07-08T14:30:52.392Z,gd4-main,locator,main,v1,3,D5,passed,231,2698,,,,,
2026-07-08T14:30:55.032Z,gd4-main,locator,main,v1,4,A1,passed,773,2637,,,,,
2026-07-08T14:30:55.032Z,gd4-main,locator,main,v1,4,A2,passed,600,2637,,,,,
2026-07-08T14:30:55.032Z,gd4-main,locator,main,v1,4,A3,passed,648,2637,,,,,
2026-07-08T14:30:55.032Z,gd4-main,locator,main,v1,4,A4,passed,546,2637,,,,,
